Datenexport - Übung 6 - Aufgabe 4
Anregungsfrequenz:	10	rad/s

	Zeit		x1(t)		x1p(t)		x2(t)		x2p(t)		x3(t)		x3p(t)
       3.2	   0.00722	     0.167	    0.0105	     0.249	   0.00864	     0.245
      3.24	    0.0125	     0.122	    0.0189	     0.198	    0.0161	     0.148
      3.27	    0.0159	    0.0614	    0.0242	    0.0883	     0.019	     0.018
       3.3	    0.0166	   -0.0223	    0.0253	   -0.0206	    0.0184	   -0.0548
      3.33	    0.0146	    -0.109	    0.0229	    -0.133	     0.016	      -0.1
      3.37	   0.00955	    -0.161	     0.016	    -0.251	    0.0114	     -0.16
      3.41	   0.00357	     -0.17	   0.00583	    -0.298	   0.00459	    -0.217
      3.44	  -0.00321	    -0.174	  -0.00503	     -0.24	  -0.00419	    -0.217
      3.48	  -0.00906	    -0.137	   -0.0122	    -0.157	   -0.0112	    -0.159
      3.52	   -0.0125	   -0.0454	   -0.0169	      -0.1	   -0.0154	   -0.0669
      3.55	   -0.0128	    0.0173	    -0.019	   -0.0492	   -0.0161	    0.0209
      3.57	   -0.0118	    0.0519	   -0.0194	    0.0265	   -0.0143	     0.104
      3.61	  -0.00968	    0.0806	    -0.017	     0.117	  -0.00995	      0.15
      3.64	  -0.00654	     0.116	   -0.0123	      0.17	  -0.00535	      0.13
      3.68	  -0.00192	     0.125	  -0.00575	     0.181	  -0.00134	    0.0919
      3.71	   0.00169	    0.0801	  0.000116	     0.156	   0.00165	    0.0869
      3.74	    0.0035	    0.0356	   0.00434	    0.0976	   0.00439	    0.0763
      3.77	   0.00431	    0.0207	   0.00628	    0.0314	   0.00613	    0.0326
       3.8	   0.00472	    0.0116	   0.00661	   0.00126	   0.00638	   -0.0114
      3.82	    0.0048	  -0.00522	    0.0066	   0.00132	   0.00582	   -0.0397
      3.84	   0.00451	   -0.0248	   0.00675	    0.0157	   0.00491	   -0.0532
      3.86	    0.0036	   -0.0387	   0.00744	    0.0324	   0.00341	   -0.0552
      3.89	   0.00273	    -0.023	   0.00823	     0.023	   0.00208	   -0.0446
      3.92	   0.00255	    0.0102	   0.00848	  -0.00616	   0.00116	   -0.0157
      3.94	   0.00299	    0.0246	   0.00813	   -0.0204	   0.00122	    0.0224
      3.97	   0.00355	     0.021	   0.00768	   -0.0159	   0.00221	    0.0609
      3.99	   0.00396	    0.0122	   0.00746	   -0.0013	   0.00402	    0.0781
      4.01	    0.0042	    0.0127	   0.00751	   0.00463	   0.00553	     0.063
      4.03	   0.00452	    0.0187	   0.00757	  -0.00137	   0.00649	    0.0272
      4.06	   0.00498	    0.0169	   0.00733	   -0.0201	   0.00659	   -0.0174
      4.08	   0.00514	  -0.00727	   0.00658	   -0.0453	   0.00583	   -0.0443
       4.1	   0.00443	   -0.0512	   0.00504	   -0.0798	   0.00459	   -0.0529
      4.13	   0.00213	    -0.095	   0.00177	    -0.137	   0.00286	   -0.0638
      4.16	 -0.000958	    -0.105	  -0.00325	    -0.193	  0.000474	   -0.0983
       4.2	  -0.00446	    -0.104	   -0.0101	    -0.199	  -0.00362	    -0.141
      4.23	  -0.00809	    -0.112	   -0.0158	     -0.13	  -0.00858	    -0.147
      4.26	   -0.0115	   -0.0899	   -0.0186	   -0.0459	   -0.0129	    -0.115
       4.3	   -0.0134	   -0.0182	   -0.0191	    0.0109	   -0.0157	   -0.0547
      4.33	   -0.0127	    0.0586	   -0.0179	    0.0639	   -0.0161	    0.0385
      4.36	   -0.0103	     0.102	   -0.0151	     0.137	   -0.0135	     0.139
       4.4	  -0.00571	     0.144	    -0.008	     0.237	   -0.0065	     0.219
      4.43	  0.000429	     0.191	   0.00169	     0.283	    0.0015	     0.207
      4.47	   0.00782	     0.187	    0.0122	     0.268	   0.00854	     0.169
       4.5	    0.0133	     0.112	    0.0207	     0.195	    0.0142	     0.146
      4.54	    0.0157	    0.0406	    0.0251	    0.0698	    0.0182	    0.0928
      4.57	    0.0161	   -0.0146	     0.025	   -0.0728	    0.0196	  -0.00851
       4.6	    0.0146	   -0.0831	    0.0211	    -0.167	    0.0176	    -0.115
      4.63	    0.0108	    -0.161	    0.0153	    -0.205	    0.0128	    -0.192
      4.67	   0.00404	    -0.202	   0.00734	    -0.237	   0.00487	    -0.244
       4.7	  -0.00283	    -0.172	  -0.00191	    -0.273	  -0.00407	     -0.24
      4.74	  -0.00842	    -0.131	   -0.0119	    -0.245	   -0.0116	    -0.152
      4.78	   -0.0124	   -0.0908	   -0.0188	    -0.143	    -0.015	   -0.0439
       4.8	   -0.0141	   -0.0267	   -0.0214	    -0.045	   -0.0154	   0.00925
      4.83	   -0.0137	    0.0523	   -0.0214	    0.0448	   -0.0147	    0.0367
      4.86	    -0.011	     0.108	   -0.0185	     0.134	   -0.0129	    0.0804
      4.89	  -0.00762	     0.115	   -0.0135	      0.19	  -0.00956	     0.142
      4.93	  -0.00395	     0.115	   -0.0072	     0.191	  -0.00419	     0.181
      4.96	 -0.000112	     0.123	  -0.00174	     0.145	   0.00142	     0.157
      4.99	   0.00362	    0.0998	    0.0023	     0.111	   0.00558	    0.0975
      5.02	   0.00588	    0.0367	   0.00582	     0.108	   0.00773	    0.0363
      5.05	   0.00623	  -0.00578	   0.00849	    0.0933	   0.00805	   -0.0116
      5.08	   0.00585	   -0.0182	    0.0104	    0.0481	   0.00717	   -0.0541
       5.1	   0.00539	   -0.0153	    0.0109	   -0.0139	   0.00533	   -0.0728
      5.13	   0.00495	   -0.0228	   0.00999	     -0.05	   0.00367	   -0.0547
      5.15	   0.00418	   -0.0394	   0.00863	    -0.055	   0.00276	   -0.0184
      5.18	   0.00316	   -0.0436	   0.00747	   -0.0421	   0.00265	   0.00564
       5.2	   0.00232	   -0.0239	   0.00667	   -0.0269	   0.00282	   0.00482
      5.22	   0.00213	   0.00664	   0.00621	   -0.0143	   0.00277	  -0.00984
      5.25	   0.00257	    0.0275	   0.00603	 -0.000389	   0.00242	   -0.0169
      5.27	   0.00317	    0.0243	   0.00616	    0.0114	   0.00216	  -0.00361
      5.29	   0.00354	   0.00341	   0.00648	   0.00969	   0.00244	     0.026
      5.31	   0.00345	  -0.00988	   0.00646	   -0.0152	   0.00319	    0.0416
      5.33	   0.00321	   -0.0119	   0.00572	   -0.0576	   0.00404	    0.0353
      5.36	   0.00292	   -0.0124	   0.00364	    -0.108	   0.00456	   0.00305
      5.38	   0.00245	   -0.0308	  0.000688	    -0.132	   0.00414	    -0.038
      5.41	   0.00117	   -0.0719	  -0.00265	    -0.125	   0.00264	   -0.0782
      5.44	  -0.00204	    -0.115	  -0.00645	    -0.107	 -0.000728	    -0.124
      5.47	  -0.00567	    -0.106	  -0.00993	    -0.117	  -0.00525	    -0.155
      5.51	  -0.00866	    -0.073	   -0.0141	    -0.125	   -0.0104	    -0.135
      5.54	   -0.0108	   -0.0553	   -0.0176	   -0.0773	   -0.0136	   -0.0541
      5.57	    -0.012	   -0.0285	   -0.0188	  -0.00145	   -0.0141	    0.0172
       5.6	    -0.012	    0.0323	   -0.0177	    0.0798	    -0.013	    0.0577
      5.62	   -0.0101	     0.106	   -0.0144	     0.157	   -0.0111	    0.0806
      5.66	  -0.00549	     0.158	  -0.00762	     0.245	   -0.0076	     0.132
      5.69	 -0.000202	     0.161	   0.00129	     0.289	  -0.00208	     0.204
      5.73	   0.00596	     0.165	    0.0117	     0.242	   0.00653	     0.232
